reg;vent;id;name;vent2;vent3
Алтайский край;604;01000000000;Алтайский край;802;
Амурская область;248;10000000000;Амурская область;336;
Архангельская область;628;11001000000;Архангельская область;419;
Астраханская область;185;12000000000;Астраханская область;240;
Белгородская область;302;14000000000;Белгородская область;260;
Брянская область;184;15000000000;Брянская область;;
Владимирская область;365;17000000000;Владимирская область;426;
Волгоградская область;519;18000000000;Волгоградская область;257;
Вологодская область;293;19000000000;Вологодская область;;
Воронежская область;316;20000000000;Воронежская область;348;
Еврейская автономная область;100;99000000000;Еврейская автономная область;;
Забайкальский край;301;76000000000;Забайкальский край;242;
Ивановская область;241;24000000000;Ивановская область;178;
Ингушская республика;48;26000000000;Республика Ингушетия ;;
Иркутская область;627;25000000000;Иркутская область;633;
Кабардино-балкарская республика;128;83000000000;Кабардино-Балкарская Республика;190;
Калининградская область;317;27000000000;Калининградская область;;
Калужская область;110;29000000000;Калужская область;48;
Камчатский край;100;30000000000;Камчатский край;;
Карачаево-черкесская республика;120;91000000000;Карачаево-Черкесская Республика;;
Кемеровская область;578;32000000000;Кемеровская область - Кузбасс;726;
Кировская область;379;33000000000;Кировская область;500;
Костромская область;201;34000000000;Костромская область;121;
Краснодарский край;1000;03000000000;Краснодарский край;;
Красноярский край;795;04000000000;Красноярский край;;
Курганская область;80;37000000000;Курганская область;;
Курская область;383;38000000000;Курская область;242;
Ленинградская область;162;41000000000;Ленинградская область;268;342
Липецкая область;337;42000000000;Липецкая область;400;
Магаданская область;60;44000000000;Магаданская область;;
Москва;6414;45000000000;Москва;5540;
Московская область;2270;46000000000;Московская область;;
Мурманская область;327;47000000000;Мурманская область;226;
Ненецкий автономный округ;24;11100000000;Ненецкий автономный округ (Архангельская область);;
Нижегородская область;674;22000000000;Нижегородская область;;
Новгородская область;120;49000000000;Новгородская область;;
Новосибирская область;982;50000000000;Новосибирская область;;
Омская область;358;52000000000;Омская область;361;
Оренбургская область;404;53000000000;Оренбургская область;542;
Орловская область;342;54000000000;Орловская область;160;
Пензенская область;294;56000000000;Пензенская область;400;
Пермский край;734;57000000000;Пермский край;;
Приморский край;374;05000000000;Приморский край;;
Псковская область;141;58000000000;Псковская область;190;
Республика Адыгея;100;79000000000;Республика Адыгея (Адыгея);;
Республика Алтай;168;84000000000;Республика Алтай;;
Республика Башкортостан;751;80000000000;Республика Башкортостан;;
Республика Бурятия;172;81000000000;Республика Бурятия;246;
Республика Дагестан;188;82000000000;Республика Дагестан;;
Республика Калмыкия;60;85000000000;Республика Калмыкия;;
Республика Карелия;174;86000000000;Республика Карелия;200;
Республика Коми;272;87000000000;Республика Коми;;
Республика Крым;684;35000000000;Республика Крым;656;
Республика Марий Эл;300;88000000000;Республика Марий Эл;124;
Республика Мордовия;124;89000000000;Республика Мордовия;;
Республика Саха (Якутия);260;98000000000;Республика Саха (Якутия);361;
Республика Северная Осетия;180;90000000000;Республика Северная Осетия-Алания;;
Республика Татарстан;1571;92000000000;Республика Татарстан (Татарстан);;
Республика Тыва;176;93000000000;Республика Тыва;;
Республика Хакасия;192;95000000000;Республика Хакасия;;
Ростовская область;724;60000000000;Ростовская область;;
Рязанская область;203;61000000000;Рязанская область;300;
Самарская область;954;36000000000;Самарская область;;
Санкт-Петербург;2348;40000000000;Санкт-Петербург;;
Саратовская область;490;63000000000;Саратовская область;536;
Сахалинская область;302;64000000000;Сахалинская область;181;
Свердловская область;1101;65000000000;Свердловская область;;
Севастополь;151;67000000000;Севастополь;58;
Смоленская область;108;66000000000;Смоленская область;;
Ставропольский край;2264;07000000000;Ставропольский край;;
Тамбовская область;771;68000000000;Тамбовская область;;
Тверская область;217;28000000000;Тверская область;118;
Томская область;338;69000000000;Томская область;400;
Тульская область;241;70000000000;Тульская область;297;
Тюменская область;609;71001000000;Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;
Удмуртская республика;191;94000000000;Удмуртская Республика;303;
Ульяновская область;135;73000000000;Ульяновская область;;
Хабаровский край;303;08000000000;Хабаровский край;;
ХМАО;1082;71100000000;Ханты-Мансийский автономный округ - Югра (Тюменская область);;
Челябинская область;780;75000000000;Челябинская область;;
Чеченская республика;160;96000000000;Чеченская Республика*;;
Чувашская республика ;388;97000000000;Чувашская Республика - Чувашия;422;
Чукотский автономный округ;12;77000000000;Чукотский автономный округ;;
Ямало-Ненецкий автономный округ;160;71140000000;Ямало-Ненецкий автономный округ (Тюменская область);;
Ярославская область;379;78000000000;Ярославская область;395;